año,developers
2009,[]
2010,"[{'Puesto 1: Valve'}, {'Puesto 2: Facepunch Studios'}, {'Puesto 3: Frictional Games'}]"
2011,"[{'Puesto 1: Valve'}, {'Puesto 2: Facepunch Studios'}, {'Puesto 3: Grey Havens'}]"
2012,"[{'Puesto 1: Valve'}, {'Puesto 2: Facepunch Studios'}, {'Puesto 3: Wild Shadow Studios'}]"
2013,"[{'Puesto 1: Facepunch Studios'}, {'Puesto 2: Valve'}, {'Puesto 3: Firaxis Games,Aspyr (Mac, Linux)'}]"
2014,"[{'Puesto 1: Valve'}, {'Puesto 2: Facepunch Studios'}, {'Puesto 3: Firaxis Games,Aspyr (Mac, Linux)'}]"
2015,"[{'Puesto 1: Valve'}, {'Puesto 2: Facepunch Studios'}, {'Puesto 3: Psyonix, Inc.'}]"
2016,[]
2017,[]
